Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Moussa Sissoko,76,CM,Tottenham Hotspur,Premier League,FRA,74,72,74,74,64,84,2★,3★,M,M,650,10K
DeAndre Yedlin,76,RB,Newcastle United,Premier League,USA,93,51,64,75,71,74,3★,3★,H,M,300,10K
Arthur Masuaku,76,LB,West Ham United,Premier League,DRC,86,63,72,80,70,70,2★,4★,H,M,600,10K
Willy Boly,76,CB,Wolverhampton Wanderers,Premier League,FRA,63,35,56,55,75,80,4★,2★,M,M,300,10K
Cheikhou Kouyaté,76,CDM,Crystal Palace,Premier League,SEN,72,65,61,69,76,85,3★,3★,H,M,650,10K
Aaron Wan-Bissaka,76,RB,Crystal Palace,Premier League,ENG,88,48,60,71,78,70,2★,3★,H,M,0,0
Håvard Nordtveit,76,CB,Fulham,Premier League,NOR,53,53,71,66,76,76,3★,2★,M,M,0,0
Jonathan Hogg,76,CDM,Huddersfield Town,Premier League,ENG,68,55,65,68,75,80,3★,3★,M,H,300,10K
Marc Albrighton,76,LM,Leicester City,Premier League,ENG,73,68,75,76,57,68,3★,3★,H,H,350,10K
Ciaran Clark,76,CB,Newcastle United,Premier League,IRL,56,52,53,56,77,74,2★,2★,M,M,350,10K
Dale Stephens,76,CM,Brighton & Hove Albion,Premier League,ENG,59,65,74,71,71,78,3★,3★,M,H,300,10K
Ki Sung Yueng,76,CM,Newcastle United,Premier League,KOR,61,72,79,74,64,69,4★,4★,M,H,650,10K
Sam Vokes,76,ST,Burnley,Premier League,WAL,53,76,64,70,44,80,3★,2★,H,M,350,10K
Glenn Murray,76,ST,Brighton & Hove Albion,Premier League,ENG,35,77,60,68,42,70,3★,2★,L,M,300,10K
Andrew Surman,76,CM,Bournemouth,Premier League,ENG,56,65,76,72,65,68,4★,3★,M,M,300,10K
James McArthur,76,CM,Crystal Palace,Premier League,SCO,57,63,72,73,70,75,3★,3★,H,H,300,10K
Stephen Ward,76,LB,Burnley,Premier League,IRL,64,60,70,71,77,75,5★,3★,H,H,300,10K
Scott Dann,76,CB,Crystal Palace,Premier League,ENG,35,40,49,50,78,72,3★,2★,L,M,350,10K
Mark Noble,76,CM,West Ham United,Premier League,ENG,44,66,76,73,72,74,3★,3★,H,H,350,10K
Pablo Zabaleta,76,RB,West Ham United,Premier League,ARG,51,56,70,72,80,73,3★,3★,M,H,650,10K
Filip Benković,76,CB,Leicester City,Premier League,CRO,64,28,39,42,76,80,3★,2★,M,M,,
Issa Diop,76,CB,West Ham United,Premier League,FRA,60,31,50,50,76,79,3★,2★,M,M,350,10K
Ben Chilwell,76,LB,Leicester City,Premier League,ENG,76,48,69,74,74,69,3★,3★,H,H,150,10K
Yoshinori Mutō,76,ST,Newcastle United,Premier League,JAP,77,73,69,78,41,64,4★,3★,H,H,350,10K
Vincent Janssen,76,ST,Tottenham Hotspur,Premier League,NED,62,77,57,70,32,73,4★,3★,H,L,350,10K
Joe Gomez,76,RB,Liverpool,Premier League,ENG,77,30,58,67,76,75,3★,3★,M,H,250,10K
Mason Holgate,76,CB,Everton,Premier League,ENG,70,42,63,65,76,73,3★,3★,M,M,150,10K
Steve Mounié,76,ST,Huddersfield Town,Premier League,BEN,68,74,61,66,42,79,3★,3★,H,M,350,10K
Demarai Gray,76,LM,Leicester City,Premier League,ENG,87,70,68,81,27,57,3★,3★,H,M,300,10K
Diego Rico,76,LB,Bournemouth,Premier League,ESP,71,56,70,67,72,77,2★,3★,M,M,350,10K
Camarasa,76,CM,Cardiff City,Premier League,ESP,60,69,72,74,69,74,3★,3★,H,M,350,10K
Sandro,76,ST,Everton,Premier League,ESP,70,78,63,77,30,63,4★,3★,H,M,350,10K
Wesley Hoedt,76,CB,Southampton,Premier League,NED,60,46,59,57,75,74,3★,2★,M,H,350,10K
Aleksandar Mitrović,76,ST,Fulham,Premier League,SRB,57,76,53,68,27,80,4★,3★,M,M,300,10K
Kenedy,76,LM,Newcastle United,Premier League,BRA,80,67,71,80,56,63,2★,4★,H,H,150,10K
Ayoze Pérez,76,CF,Newcastle United,Premier League,ESP,76,73,62,80,43,63,4★,4★,H,H,300,10K
Alex Iwobi,76,LM,Arsenal,Premier League,NIG,77,62,70,80,28,64,3★,3★,M,M,300,10K
Pierre-Emile Højbjerg,76,CM,Southampton,Premier League,DEN,62,64,74,75,71,75,4★,3★,M,M,300,10K
Emerson,76,LWB,Chelsea,Premier League,ITA,77,59,66,77,70,61,3★,3★,H,M,350,10K
Luciano Vietto,76,ST,Fulham,Premier League,ARG,72,76,69,78,43,62,3★,4★,H,M,650,10K
Will Hughes,76,CM,Watford,Premier League,ENG,62,60,74,78,66,64,3★,4★,M,M,300,10K
Nathaniel Chalobah,76,CDM,Watford,Premier League,ENG,66,61,70,74,73,73,3★,3★,M,M,300,10K
Jürgen Locadia,76,ST,Brighton & Hove Albion,Premier League,NED,75,76,70,72,36,74,4★,3★,H,M,350,10K
Terence Kongolo,76,LB,Huddersfield Town,Premier League,NED,71,43,64,67,79,75,4★,3★,M,H,500,10K
Federico Fernández,76,CB,Newcastle United,Premier League,ARG,48,28,49,51,76,74,2★,2★,M,H,350,10K
Danny Ings,76,ST,Southampton,Premier League,ENG,77,73,64,76,31,68,3★,3★,H,H,650,10K
Shinji Okazaki,76,CF,Leicester City,Premier League,JAP,68,72,68,77,54,71,4★,3★,H,H,350,10K
Shane Duffy,76,CB,Brighton & Hove Albion,Premier League,IRL,45,42,52,48,75,79,3★,2★,M,H,300,10K
Kiko Femenía,76,RB,Watford,Premier League,ESP,78,58,70,79,72,69,3★,3★,H,M,300,10K
Tom Cleverley,76,CM,Watford,Premier League,ENG,66,69,75,73,61,63,3★,3★,H,M,350,10K
Harry Arter,76,CM,Cardiff City,Premier League,IRL,62,71,74,73,68,72,5★,3★,H,H,350,10K
Matteo Darmian,76,LB,Manchester United,Premier League,ITA,73,58,68,75,77,69,5★,3★,L,H,650,10K
Antonio Barreca,75,LB,Newcastle United,Premier League,ITA,85,34,62,75,71,68,2★,3★,H,M,0,0
André Franck Zambo Anguissa,75,CDM,Fulham,Premier League,CAM,74,59,68,70,73,84,2★,3★,M,H,250,10K
Adama,75,RW,Wolverhampton Wanderers,Premier League,ESP,96,61,64,83,25,75,2★,4★,H,L,300,10K
Laurent Depoitre,75,ST,Huddersfield Town,Premier League,BEL,52,73,59,64,43,81,3★,2★,H,H,300,10K
Daniel Amartey,75,CDM,Leicester City,Premier League,GHA,72,58,64,69,75,83,3★,3★,M,H,600,10K
Christian Atsu,75,LM,Newcastle United,Premier League,GHA,90,67,68,78,35,48,3★,3★,H,L,600,10K
Joe Bryan,75,LB,Fulham,Premier League,ENG,85,64,66,72,72,76,4★,3★,H,M,150,10K
Matěj Vydra,75,CAM,Burnley,Premier League,CZ,84,75,67,74,35,62,4★,3★,M,M,250,10K
Andre Gray,75,ST,Watford,Premier League,ENG,87,73,62,72,30,73,3★,3★,H,M,650,10K
Patrick van Aanholt,75,LB,Crystal Palace,Premier League,NED,89,66,68,74,72,71,3★,3★,H,M,600,10K
Oumar Niasse,75,ST,Cardiff City,Premier League,SEN,75,75,56,73,29,71,3★,3★,H,M,0,0
Ryan Sessegnon,75,LW,Fulham,Premier League,ENG,86,68,67,75,65,62,3★,3★,H,M,150,10K
Ramadan Sobhi,75,LM,Huddersfield Town,Premier League,EGY,75,63,73,78,44,64,4★,4★,H,H,300,10K
Bernardo,75,LB,Brighton & Hove Albion,Premier League,BRA,76,48,58,66,76,72,3★,3★,M,M,150,10K
Çağlar Söyüncü,75,CB,Leicester City,Premier League,TUR,70,45,51,59,75,76,4★,2★,M,M,300,10K
Tom Davies,75,CM,Everton,Premier League,ENG,67,62,74,76,62,71,3★,4★,H,M,300,10K
Kelechi Iheanacho,75,ST,Leicester City,Premier League,NIG,78,75,62,75,28,67,3★,4★,M,M,600,10K
Harry Winks,75,CM,Tottenham Hotspur,Premier League,ENG,67,58,75,75,64,63,3★,3★,H,M,150,10K
Hélder Costa,75,RW,Wolverhampton Wanderers,Premier League,POR,87,68,68,78,31,62,4★,3★,H,M,650,10K
James Maddison,75,CAM,Leicester City,Premier League,ENG,74,73,75,76,39,48,4★,4★,H,M,150,10K
Ivan Cavaleiro,75,RW,Wolverhampton Wanderers,Premier League,POR,87,71,68,77,38,68,4★,3★,H,M,300,10K
Rachid Ghezzal,75,RM,Leicester City,Premier League,ALG,72,72,75,78,28,60,3★,4★,M,L,350,10K
Fabian Schär,75,CB,Newcastle United,Premier League,SUI,55,65,70,66,75,75,4★,2★,H,M,300,10K
Alfie Mawson,75,CB,Fulham,Premier League,ENG,56,43,50,59,75,74,5★,2★,M,H,300,10K
Oumar Niasse,75,ST,Everton,Premier League,SEN,75,75,56,73,29,71,3★,3★,H,M,300,10K
Erik Durm,75,LB,Huddersfield Town,Premier League,GER,77,53,63,68,73,70,3★,3★,H,M,350,10K
Ryan Fraser,75,RM,Bournemouth,Premier League,SCO,86,65,69,79,46,50,4★,3★,H,M,300,10K
Calum Chambers,75,CB,Fulham,Premier League,ENG,62,50,64,67,74,73,3★,2★,L,H,300,10K
Charly Musonda,75,RW,Chelsea,Premier League,BEL,84,65,70,81,24,44,5★,4★,M,M,650,10K
Anthony Knockaert,75,RM,Brighton & Hove Albion,Premier League,FRA,73,71,70,81,49,64,3★,4★,H,H,350,10K
Stuart Armstrong,75,CAM,Southampton,Premier League,SCO,77,71,71,74,64,72,4★,3★,H,H,600,10K
Jeff Hendrick,75,CAM,Burnley,Premier League,IRL,68,69,74,75,72,74,3★,3★,M,H,300,10K
Nathan Redmond,75,RM,Southampton,Premier League,ENG,84,68,70,79,25,47,3★,3★,H,M,350,10K
Marvin Zeegelaar,75,LB,Watford,Premier League,NED,74,62,67,72,73,76,3★,3★,H,M,600,10K
Ezequiel Schelotto,75,RB,Brighton & Hove Albion,Premier League,ITA,71,61,68,72,73,76,3★,3★,H,M,300,10K
Maxime Le Marchand,75,LB,Fulham,Premier League,FRA,72,38,70,66,75,75,2★,2★,M,H,650,10K
Maya Yoshida,75,CB,Southampton,Premier League,JAP,60,41,51,63,75,72,4★,2★,M,H,300,10K
Adam Smith,75,RB,Bournemouth,Premier League,ENG,77,55,70,74,73,66,3★,3★,H,M,300,10K
Junior Hoilett,75,LW,Cardiff City,Premier League,CAN,88,71,69,76,35,62,3★,3★,M,M,300,10K
Junior Stanislas,75,RM,Bournemouth,Premier League,ENG,76,69,73,74,36,55,3★,3★,H,M,300,10K
Ashley Westwood,75,CM,Burnley,Premier League,ENG,60,56,77,71,71,71,3★,3★,M,M,300,10K
Mohamed Diamé,75,CM,Newcastle United,Premier League,SEN,69,71,68,74,75,80,3★,3★,M,H,300,10K
Leon Balogun,75,CB,Brighton & Hove Albion,Premier League,NIG,65,46,60,61,74,74,3★,2★,M,M,300,10K
Stefan Johansen,75,CM,Fulham,Premier League,NOR,70,70,74,74,67,74,3★,3★,H,H,300,10K
Martin Kelly,75,CB,Crystal Palace,Premier League,ENG,49,44,60,62,75,71,3★,2★,L,M,300,10K
Sebastian Prödl,75,CB,Watford,Premier League,AT,31,36,50,41,76,75,2★,2★,M,M,350,10K
Kevin McDonald,75,CDM,Fulham,Premier League,SCO,55,59,71,68,72,75,4★,3★,M,M,150,10K
Souleymane Bamba,75,CB,Cardiff City,Premier League,IVC,54,28,44,54,75,77,3★,2★,M,M,150,10K
Charlie Daniels,75,LB,Bournemouth,Premier League,ENG,71,61,72,73,73,69,3★,3★,H,M,300,10K
Robert Snodgrass,75,RM,West Ham United,Premier League,SCO,57,74,77,76,47,70,3★,4★,H,M,350,10K
Christian Fuchs,75,LB,Leicester City,Premier League,AT,55,68,78,70,76,71,2★,3★,M,M,350,10K
Wes Morgan,75,CB,Leicester City,Premier League,JAM,30,30,41,57,75,74,2★,2★,M,H,350,10K
Simon Francis,75,CB,Bournemouth,Premier League,ENG,52,43,68,66,75,71,4★,2★,H,M,350,10K
Lazar Marković,74,RM,Fulham,Premier League,SRB,84,66,70,80,41,49,3★,4★,M,M,0,0
Florent Hadergjonaj,74,RB,Huddersfield Town,Premier League,SUI,78,48,67,71,69,67,3★,3★,H,M,150,10K
Lazar Marković,74,RM,Liverpool,Premier League,SRB,84,66,70,80,41,49,3★,4★,M,M,650,10K
Manquillo,74,LB,Newcastle United,Premier League,ESP,75,45,63,71,71,68,3★,3★,H,M,350,10K
Romain Saïss,74,CM,Wolverhampton Wanderers,Premier League,MOR,60,53,70,70,75,74,3★,3★,M,M,350,10K
Adama Diakhaby,74,ST,Huddersfield Town,Premier League,FRA,77,70,65,74,24,54,2★,3★,H,M,150,10K
Timothy Fosu-Mensah,74,RB,Fulham,Premier League,NED,82,60,64,66,75,77,4★,3★,M,M,400,10K
Marc Navarro,74,RB,Watford,Premier League,ESP,69,56,69,65,74,66,2★,2★,H,M,150,10K
Tammy Abraham,74,ST,Chelsea,Premier League,ENG,74,71,55,69,30,67,3★,3★,M,M,150,10K
Rob Holding,74,CB,Arsenal,Premier League,ENG,60,34,55,64,74,73,3★,2★,M,M,300,10K
Adam Masina,74,LB,Watford,Premier League,ITA,70,38,67,67,71,76,3★,3★,M,M,300,10K
Dominic Calvert-Lewin,74,ST,Everton,Premier League,ENG,82,68,58,74,37,73,3★,3★,H,M,150,10K
Jaïro Riedewald,74,CB,Crystal Palace,Premier League,NED,64,51,68,69,74,69,3★,3★,M,M,300,10K
Jordon Ibe,74,RM,Bournemouth,Premier League,ENG,80,67,67,79,41,63,4★,3★,M,M,250,10K
Alex Pritchard,74,CAM,Huddersfield Town,Premier League,ENG,68,69,73,75,41,47,4★,3★,H,M,300,10K
Charlie Taylor,74,LB,Burnley,Premier League,ENG,73,54,69,72,73,71,2★,3★,H,M,150,10K
Joe Ralls,74,CM,Cardiff City,Premier League,ENG,63,68,73,72,67,65,2★,3★,M,H,150,10K
Paul Dummett,74,LB,Newcastle United,Premier League,WAL,66,40,63,66,76,75,2★,3★,M,M,250,10K
Bobby Reid,74,ST,Cardiff City,Premier League,ENG,81,72,68,76,56,64,3★,3★,H,H,150,10K
Jack Stephens,74,CB,Southampton,Premier League,ENG,59,42,57,66,74,69,3★,2★,M,M,150,10K
Matt Doherty,74,RWB,Wolverhampton Wanderers,Premier League,IRL,77,61,68,72,69,77,4★,3★,H,M,250,10K
Ben Gibson,74,CB,Burnley,Premier League,ENG,60,26,45,50,75,72,3★,2★,M,M,300,10K
Nampalys Mendy,74,CDM,Leicester City,Premier League,FRA,67,55,70,73,70,71,3★,3★,L,H,350,10K
Greg Cunningham,74,LB,Cardiff City,Premier League,IRL,76,54,65,70,71,76,3★,3★,M,H,150,10K
Aaron Cresswell,74,CB,West Ham United,Premier League,ENG,73,59,74,75,74,69,3★,3★,H,M,350,10K
Miguel Angel Britos,74,CB,Watford,Premier League,URU,38,34,50,52,75,73,3★,2★,M,M,300,10K
Bruno Ecuélé Manga,74,CB,Cardiff City,Premier League,GAB,56,30,55,45,74,72,3★,2★,L,H,150,10K
Sean Morrison,74,CB,Cardiff City,Premier League,ENG,45,29,40,50,74,77,2★,2★,M,H,150,10K
Joel Ward,74,RB,Crystal Palace,Premier League,ENG,59,54,66,66,76,72,3★,3★,M,H,300,10K
Yohan Benalouane,74,CB,Leicester City,Premier League,TUN,52,39,57,54,73,73,3★,2★,M,H,300,10K
Stefano Okaka,74,ST,Watford,Premier League,ITA,64,71,57,71,30,81,3★,2★,H,H,650,10K
Gaëtan Bong,74,LB,Brighton & Hove Albion,Premier League,CAM,66,41,69,70,75,71,3★,3★,H,H,300,10K
Joselu,74,ST,Newcastle United,Premier League,ESP,59,72,64,70,29,70,3★,3★,M,M,300,10K
Adrian Mariappa,74,CB,Watford,Premier League,JAM,55,34,57,63,74,69,3★,2★,M,M,300,10K
Danny Simpson,74,RB,Leicester City,Premier League,ENG,60,38,61,67,78,71,3★,3★,L,H,300,10K
Shane Long,74,ST,Southampton,Premier League,IRL,78,71,60,71,36,71,2★,3★,H,H,650,10K
Younès Kaboul,74,CB,Watford,Premier League,FRA,42,43,56,54,73,73,3★,2★,H,M,300,10K
Steven Davis,74,CM,Southampton,Premier League,NIR,55,61,75,75,63,63,3★,3★,M,H,350,10K
Bruno Saltor,74,RB,Brighton & Hove Albion,Premier League,ESP,55,45,71,72,77,64,3★,3★,H,M,300,10K
Peter Crouch,73,ST,Burnley,Premier League,ENG,32,73,66,65,35,62,3★,2★,M,M,0,0
Jason Puncheon,73,CM,Huddersfield Town,Premier League,ENG,57,68,74,73,62,66,2★,3★,M,M,0,0
Markus Suttner,73,LB,Brighton & Hove Albion,Premier League,AT,69,58,72,72,70,68,3★,3★,H,M,300,10K
Isaac Success,73,RM,Watford,Premier League,NIG,79,68,64,75,35,67,3★,3★,M,M,300,10K
Léo Bonatini,73,ST,Wolverhampton Wanderers,Premier League,BRA,69,72,67,73,35,70,4★,3★,M,H,300,10K
Phil Foden,73,CAM,Manchester City,Premier League,ENG,74,61,71,75,55,55,3★,3★,M,M,150,10K
Adalberto Peñaranda,73,ST,Watford,Premier League,VEN,76,71,67,77,36,59,3★,3★,H,M,600,10K
Ryan Fredericks,73,RB,West Ham United,Premier League,ENG,94,51,64,72,67,69,3★,3★,H,M,250,10K
Chris Löwe,73,LB,Huddersfield Town,Premier League,GER,73,60,68,70,71,67,2★,3★,M,H,150,10K
Conor Coady,73,CB,Wolverhampton Wanderers,Premier League,ENG,46,58,68,63,72,74,3★,2★,L,H,250,10K
Dan Gosling,73,CM,Bournemouth,Premier League,ENG,56,69,70,70,68,69,3★,3★,M,H,150,10K
Tim Ream,73,CB,Fulham,Premier League,USA,60,43,68,69,73,69,3★,2★,M,M,250,10K
Kevin Long,73,CB,Burnley,Premier League,IRL,56,35,50,56,73,74,2★,2★,L,M,150,10K
Craig Cathcart,73,CB,Watford,Premier League,NIR,44,37,54,54,74,69,3★,2★,M,M,300,10K
Jason Puncheon,73,CM,Crystal Palace,Premier League,ENG,57,68,74,73,62,66,2★,3★,M,M,300,10K
Jeffrey Schlupp,73,LB,Crystal Palace,Premier League,GHA,85,62,65,72,68,74,2★,3★,H,M,250,10K
Douglas Luiz,73,CM,Manchester City,Premier League,BRA,65,67,71,72,69,67,2★,3★,M,M,300,10K
Tommy Smith,73,RB,Huddersfield Town,Premier League,ENG,71,34,67,66,70,71,3★,3★,M,M,150,10K
Aron Gunnarsson,73,CDM,Cardiff City,Premier League,ICE,57,62,67,69,70,73,3★,3★,M,H,150,10K
Matty James,73,CM,Leicester City,Premier League,ENG,57,61,73,71,68,70,3★,3★,M,M,150,10K
Yves Bissouma,72,CM,Brighton & Hove Albion,Premier League,MAL,72,61,70,74,67,65,3★,3★,H,M,250,10K
Diogo Dalot,72,RB,Manchester United,Premier League,POR,73,58,65,73,69,75,3★,3★,H,M,150,10K
Ademola Lookman,72,LM,Everton,Premier League,ENG,81,69,61,78,28,58,4★,3★,H,M,150,10K
Isaac Mbenza,72,ST,Huddersfield Town,Premier League,BEL,86,70,68,71,36,66,3★,3★,M,M,150,10K
Solly March,72,LM,Brighton & Hove Albion,Premier League,ENG,78,67,67,76,45,60,2★,3★,H,H,150,10K
Lucas Piazon,72,RW,Chelsea,Premier League,BRA,69,72,72,74,34,55,4★,3★,M,M,300,10K
Rajiv van La Parra,72,LM,Huddersfield Town,Premier League,NED,82,59,64,78,36,63,3★,3★,M,M,150,10K
Jonathan Walters,72,ST,Burnley,Premier League,IRL,56,72,69,70,52,71,3★,2★,H,H,300,10K
Isaac Hayden,72,CDM,Newcastle United,Premier League,ENG,60,52,62,66,70,73,4★,2★,M,M,150,10K
Jacob Murphy,72,RM,Newcastle United,Premier League,ENG,80,68,68,74,33,55,3★,3★,H,L,150,10K
Neeskens Kebano,72,LW,Fulham,Premier League,DRC,81,67,67,74,39,56,3★,3★,H,M,300,10K
Cyrus Christie,72,RB,Fulham,Premier League,IRL,82,51,64,71,69,75,2★,3★,H,M,150,10K
Michael Hector,72,CB,Chelsea,Premier League,JAM,65,47,50,55,71,75,3★,2★,M,M,150,10K
Kenneth Zohore,72,ST,Cardiff City,Premier League,DEN,62,71,48,65,26,77,3★,3★,M,L,150,10K
Beram Kayal,72,CM,Brighton & Hove Albion,Premier League,ISR,66,61,70,72,68,78,3★,3★,M,H,300,10K
Dan Burn,71,CB,Brighton & Hove Albion,Premier League,ENG,43,33,53,48,70,77,3★,2★,L,M,0,0
Lee Tomlin,71,CAM,Cardiff City,Premier League,ENG,61,71,68,71,37,65,3★,3★,H,M,300,10K
Phil Bardsley,71,RB,Burnley,Premier League,SCO,53,59,63,66,73,74,3★,3★,M,M,300,10K
Oleksandr Zinchenko,71,LB,Manchester City,Premier League,UKR,68,65,77,75,67,59,3★,3★,H,M,300,10K
Ainsley Maitland-Niles,71,CM,Arsenal,Premier League,ENG,82,59,68,72,60,65,3★,3★,M,M,150,10K
Jonjoe Kenny,71,RB,Everton,Premier League,ENG,72,36,61,62,72,66,3★,2★,H,M,150,10K
Ken Sema,71,LM,Watford,Premier League,SWE,79,64,67,74,42,72,3★,3★,M,M,250,10K
Callum Paterson,71,CM,Cardiff City,Premier League,SCO,76,67,66,66,69,86,3★,3★,H,H,250,10K
Danny Williams,71,CM,Huddersfield Town,Premier League,USA,70,69,65,72,70,80,3★,3★,M,H,250,10K
Connor Wickham,71,ST,Crystal Palace,Premier League,ENG,56,72,61,66,30,73,3★,3★,H,M,300,10K
Joe Bennett,71,LB,Cardiff City,Premier League,ENG,66,42,65,67,71,68,3★,3★,H,M,150,10K
Andy King,71,CM,Leicester City,Premier League,WAL,64,69,67,69,69,71,3★,3★,M,M,300,10K
Scott McTominay,71,CM,Manchester United,Premier League,SCO,64,61,68,67,69,74,3★,3★,M,M,150,10K
Fousseni Diabaté,71,RM,Leicester City,Premier League,MAL,78,66,60,75,23,50,3★,3★,M,M,150,10K
Edimilson Fernandes,71,CAM,West Ham United,Premier League,SUI,75,65,67,70,52,68,4★,3★,H,M,0,0
Marc Pugh,71,LM,Bournemouth,Premier League,ENG,66,66,67,74,47,65,4★,4★,H,M,150,10K
Aboubakar Kamara,71,ST,Fulham,Premier League,FRA,81,68,53,66,30,72,3★,3★,H,M,150,10K
Josh Onomah,71,CAM,Tottenham Hotspur,Premier League,ENG,74,60,65,72,55,63,3★,3★,M,M,150,10K
Jan Bednarek,71,CB,Southampton,Premier League,POL,63,22,52,49,71,71,3★,2★,M,M,150,10K
Alexander Sørloth,71,ST,Crystal Palace,Premier League,NOR,71,70,55,66,25,75,4★,3★,H,M,150,10K
Bartosz Kapustka,71,LM,Leicester City,Premier League,POL,78,62,68,72,37,53,3★,3★,M,M,150,10K
Elias Kachunga,71,RM,Huddersfield Town,Premier League,DRC,79,69,63,71,42,71,2★,3★,H,M,300,10K
Nathaniel Mendez-Laing,71,RW,Cardiff City,Premier League,ENG,85,64,62,73,32,65,3★,3★,H,M,250,10K
Ryan Bennett,71,CB,Wolverhampton Wanderers,Premier League,ENG,34,24,41,30,72,74,2★,2★,L,M,150,10K
Rui Fonte,71,ST,Fulham,Premier League,POR,65,69,69,69,43,64,3★,3★,M,M,350,10K
Juan Foyth,70,CB,Tottenham Hotspur,Premier League,ARG,71,45,55,68,70,65,3★,3★,M,H,250,10K
Isaiah Brown,70,CAM,Chelsea,Premier League,ENG,74,65,65,74,43,64,3★,3★,M,M,250,10K
Tyrone Mings,70,LB,Bournemouth,Premier League,ENG,69,37,61,65,70,76,3★,3★,M,M,250,10K
Jonathan Williams,70,CAM,Crystal Palace,Premier League,WAL,66,61,65,75,42,57,3★,3★,H,M,250,10K
Danny Batth,70,CB,Wolverhampton Wanderers,Premier League,ENG,32,23,41,38,70,80,2★,2★,L,H,250,10K
Dominic Solanke,70,ST,Bournemouth,Premier League,ENG,69,68,61,72,24,62,3★,3★,H,M,0,0
Aaron Wan-Bissaka,70,RB,Crystal Palace,Premier League,ENG,82,47,56,67,69,65,2★,3★,H,M,150,10K
Juninho Bacuna,70,CM,Huddersfield Town,Premier League,NED,71,63,68,74,61,70,3★,3★,M,M,150,10K
Kieran Dowell,70,CAM,Everton,Premier League,ENG,64,68,69,72,44,53,3★,3★,M,L,150,10K
Dominic Solanke,70,ST,Liverpool,Premier League,ENG,69,68,61,72,24,62,3★,3★,H,M,150,10K
Rolando Aarons,70,LM,Newcastle United,Premier League,ENG,79,62,65,75,32,46,3★,3★,M,M,150,10K
Lys Mousset,70,ST,Bournemouth,Premier League,FRA,76,70,52,70,25,61,2★,3★,M,M,250,10K
Matt Targett,70,LB,Southampton,Premier League,ENG,71,37,63,65,69,66,2★,3★,M,M,150,10K
Pape Souaré,70,LB,Crystal Palace,Premier League,SEN,68,50,68,68,69,65,2★,3★,H,M,300,10K
Floyd Ayité,70,LW,Fulham,Premier League,TOG,82,68,65,71,34,66,4★,3★,M,H,300,10K
Leandro Bacuna,69,CDM,Cardiff City,Premier League,NEA,78,66,69,69,64,77,3★,3★,M,M,0,0
Philippe Sandler,69,CB,Manchester City,Premier League,NED,67,39,62,68,69,67,3★,2★,H,M,150,10K
Hamza Choudhury,69,CDM,Leicester City,Premier League,ENG,65,44,58,63,71,70,3★,2★,L,H,150,10K
David Brooks,69,CAM,Bournemouth,Premier League,WAL,72,58,65,73,31,52,2★,3★,M,M,150,10K
Denis Odoi,69,CB,Fulham,Premier League,BEL,82,49,64,72,68,67,3★,3★,H,M,150,10K
Gary Madine,69,ST,Cardiff City,Premier League,ENG,52,68,51,61,32,80,3★,2★,M,M,150,10K
Anthony Pilkington,69,ST,Cardiff City,Premier League,IRL,62,70,68,69,29,67,4★,3★,H,L,250,10K
Lee Peltier,69,RB,Cardiff City,Premier League,ENG,61,38,58,61,72,71,2★,2★,L,H,250,10K
Harrison Reed,69,CDM,Southampton,Premier League,ENG,62,54,67,66,67,67,3★,3★,M,H,0,0
Joe Williams,69,CDM,Everton,Premier League,ENG,59,56,65,67,68,60,2★,3★,M,M,0,0
Harvey Barnes,69,LW,Leicester City,Premier League,ENG,74,67,67,69,45,53,4★,3★,H,M,0,0
Declan Rice,69,CB,West Ham United,Premier League,IRL,59,32,51,54,69,70,3★,2★,M,M,150,10K
Brahim Díaz,69,LW,Manchester City,Premier League,ESP,74,65,61,75,29,45,4★,3★,H,M,150,10K
Kyle Walker-Peters,69,RB,Tottenham Hotspur,Premier League,ENG,74,36,60,69,68,64,4★,3★,H,M,150,10K
Mathias Normann,69,CM,Brighton & Hove Albion,Premier League,NOR,68,57,66,69,63,72,3★,3★,M,H,150,10K
Sam Gallagher,69,ST,Southampton,Premier League,ENG,66,68,53,64,44,71,3★,2★,H,M,150,10K
Josh Murphy,69,LW,Cardiff City,Premier League,ENG,82,66,59,73,26,51,4★,3★,H,L,150,10K
Carl Jenkinson,69,RB,Arsenal,Premier League,ENG,66,50,65,66,69,68,2★,3★,H,H,300,10K
Collin Quaner,69,ST,Huddersfield Town,Premier League,GER,75,64,60,65,28,72,4★,3★,M,M,150,10K
Danny Ward,69,ST,Cardiff City,Premier League,ENG,73,69,62,66,35,68,4★,3★,H,H,150,10K
Ashley Richards,69,RB,Cardiff City,Premier League,WAL,68,44,62,65,68,70,3★,3★,M,M,150,10K
Loïc Damour,69,CDM,Cardiff City,Premier League,FRA,66,60,63,63,66,71,4★,2★,H,H,150,10K
Philip Billing,68,CDM,Huddersfield Town,Premier League,DEN,57,64,62,65,67,69,3★,2★,M,M,250,10K
Michał Żyro,68,RM,Wolverhampton Wanderers,Premier League,POL,69,68,63,71,41,64,3★,3★,M,M,250,10K
Matt Clarke,68,CB,Brighton & Hove Albion,Premier League,ENG,55,34,50,56,66,79,3★,3★,M,H,0,0
Ben Woodburn,68,CAM,Liverpool,Premier League,WAL,77,62,59,71,23,54,4★,3★,H,M,0,0
