Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Dale Stephens,76,CM,Brighton & Hove Albion,Premier League,ENG,57,64,74,70,71,78,3★,3★,M,H,0,0
Craig Cathcart,76,CB,Watford,Premier League,NIR,40,37,57,55,77,73,3★,2★,M,H,0,0
Ki Sung Yueng,76,CM,Newcastle United,Premier League,KOR,58,72,79,74,64,69,4★,4★,M,H,0,0
Winston Reid,76,CB,West Ham United,Premier League,NZL,52,52,48,50,77,73,3★,2★,L,H,0,0
James McArthur,76,CM,Crystal Palace,Premier League,SCO,60,65,72,73,71,75,3★,3★,H,H,0,0
Jay Rodriguez,76,ST,Burnley,Premier League,ENG,72,74,68,72,41,68,4★,3★,H,M,0,0
Jack Cork,76,CM,Burnley,Premier League,ENG,47,62,73,71,76,80,4★,3★,M,H,0,0
Robert Snodgrass,76,RM,West Ham United,Premier League,SCO,61,74,77,77,47,71,3★,3★,H,M,0,0
Mark Noble,76,CM,West Ham United,Premier League,ENG,41,67,76,73,72,70,3★,3★,H,H,0,0
Phil Jagielka,76,CB,Sheffield United,Premier League,ENG,46,44,57,54,77,65,3★,2★,M,H,0,0
Takumi Minamino,75,RM,Liverpool,Premier League,JAP,89,72,67,79,41,65,4★,3★,M,M,0,0
Lukas Rupp,75,CM,Norwich City,Premier League,GER,65,67,75,77,66,63,3★,3★,M,M,0,0
Mattéo Guendouzi,75,CM,Arsenal,Premier League,FRA,71,62,73,73,69,74,3★,3★,M,H,0,0
Yves Bissouma,75,CM,Brighton & Hove Albion,Premier League,MAL,74,65,72,76,73,70,3★,4★,H,M,0,0
Ryan Sessegnon,75,LM,Tottenham Hotspur,Premier League,ENG,87,67,68,75,64,62,3★,4★,H,M,0,0
Harvey Barnes,75,LW,Leicester City,Premier League,ENG,78,69,71,76,45,57,4★,3★,H,M,0,0
Diogo Dalot,75,RB,Manchester United,Premier League,POR,80,60,71,77,70,77,3★,3★,H,M,0,0
Mason Mount,75,CAM,Chelsea,Premier League,ENG,71,68,74,76,46,53,4★,3★,H,M,0,0
Bernardo,75,LB,Brighton & Hove Albion,Premier League,BRA,70,49,62,67,76,72,3★,3★,M,M,0,0
Tom Davies,75,CM,Everton,Premier League,ENG,66,62,73,75,65,69,3★,3★,H,M,0,0
Yoshinori Mutō,75,ST,Newcastle United,Premier League,JAP,77,72,68,78,41,62,4★,3★,H,H,0,0
Ainsley Maitland-Niles,75,RWB,Arsenal,Premier League,ENG,85,59,70,76,68,67,3★,4★,M,M,0,0
Mason Holgate,75,RB,Everton,Premier League,ENG,70,42,66,66,76,71,3★,3★,M,M,0,0
Harry Wilson,75,RW,Bournemouth,Premier League,WAL,79,76,72,74,40,49,3★,3★,H,M,0,0
Demarai Gray,75,LW,Leicester City,Premier League,ENG,88,67,67,80,37,55,3★,4★,H,M,0,0
Alireza Jahanbakhsh,75,RW,Brighton & Hove Albion,Premier League,IRN,79,73,69,79,42,70,4★,4★,M,M,0,0
Neal Maupay,75,ST,Brighton & Hove Albion,Premier League,FRA,75,73,66,72,41,69,3★,3★,M,M,0,0
John McGinn,75,CM,Aston Villa,Premier League,SCO,73,66,71,75,70,78,4★,3★,H,H,0,0
Solly March,75,LM,Brighton & Hove Albion,Premier League,ENG,77,68,72,77,50,60,2★,3★,H,H,0,0
Jetro Willems,75,LWB,Newcastle United,Premier League,NED,74,62,76,76,71,76,4★,3★,H,L,0,0
Calum Chambers,75,CDM,Arsenal,Premier League,ENG,63,49,65,68,74,76,3★,2★,L,H,0,0
Nathaniel Chalobah,75,CDM,Watford,Premier League,ENG,64,61,70,74,72,71,3★,3★,M,M,0,0
Paul Dummett,75,CB,Newcastle United,Premier League,WAL,66,40,63,67,76,72,2★,2★,M,M,0,0
Stuart Armstrong,75,CAM,Southampton,Premier League,SCO,75,73,72,74,64,72,4★,3★,H,H,0,0
Jeff Hendrick,75,RM,Burnley,Premier League,IRL,68,68,74,75,70,75,3★,3★,M,H,0,0
Matthew Lowton,75,RB,Burnley,Premier League,ENG,67,61,73,72,75,74,3★,2★,H,H,0,0
Nampalys Mendy,75,CDM,Leicester City,Premier League,FRA,69,55,70,74,73,71,3★,3★,L,H,0,0
Josip Drmić,75,ST,Norwich City,Premier League,SUI,76,75,67,73,38,70,4★,3★,M,M,0,0
Jordan Ayew,75,ST,Crystal Palace,Premier League,GHA,76,74,70,75,45,72,3★,4★,M,M,0,0
Craig Dawson,75,CB,Watford,Premier League,ENG,62,43,58,60,75,77,2★,2★,M,M,0,0
Maya Yoshida,75,CB,Southampton,Premier League,JAP,55,41,51,63,76,72,4★,2★,M,H,0,0
Junior Stanislas,75,LM,Bournemouth,Premier League,ENG,75,70,73,75,36,55,3★,3★,H,M,0,0
James McCarthy,75,CDM,Crystal Palace,Premier League,IRL,58,60,73,73,74,65,4★,3★,M,H,0,0
Matt Ritchie,75,LWB,Newcastle United,Premier League,SCO,73,74,76,76,65,69,4★,4★,H,M,0,0
Oliver Norwood,75,CM,Sheffield United,Premier League,NIR,57,66,78,68,70,62,3★,2★,M,M,0,0
Dan Gosling,75,CM,Bournemouth,Premier League,ENG,55,68,73,70,70,69,3★,3★,M,H,0,0
Christian Benteke,75,ST,Crystal Palace,Premier League,BEL,58,74,61,65,32,72,3★,2★,M,L,0,0
Martin Kelly,75,CB,Crystal Palace,Premier League,ENG,50,44,60,62,75,71,3★,2★,L,M,0,0
Ciaran Clark,75,CB,Newcastle United,Premier League,IRL,52,52,53,55,76,73,2★,2★,M,M,0,0
Carlos Sánchez,75,CDM,West Ham United,Premier League,COL,60,58,70,68,74,73,3★,3★,M,M,0,0
Andy Carroll,75,ST,Newcastle United,Premier League,ENG,44,77,61,67,44,80,3★,2★,M,H,0,0
Adrian Mariappa,75,CB,Watford,Premier League,JAM,55,34,57,62,76,70,3★,2★,M,M,0,0
Andrew Surman,75,CM,Bournemouth,Premier League,ENG,52,65,75,70,66,66,4★,3★,L,M,0,0
Leighton Baines,75,LB,Everton,Premier League,ENG,56,68,77,76,76,59,3★,3★,H,M,0,0
Scott Dann,75,CB,Crystal Palace,Premier League,ENG,32,40,48,49,76,65,3★,2★,L,M,0,0
Pablo Zabaleta,75,RB,West Ham United,Premier League,ARG,49,56,70,72,79,70,3★,3★,M,H,0,0
Wes Morgan,75,CB,Leicester City,Premier League,JAM,29,34,41,55,76,72,2★,2★,M,H,0,0
Simon Francis,75,CB,Bournemouth,Premier League,ENG,51,44,67,64,75,71,4★,2★,M,M,0,0
Dwight McNeil,74,LM,Burnley,Premier League,ENG,77,66,71,75,50,66,3★,3★,H,H,0,0
Callum Hudson-Odoi,74,RW,Chelsea,Premier League,ENG,85,64,67,80,30,60,3★,4★,H,M,0,0
Moussa Djenepo,74,LM,Southampton,Premier League,MAL,88,67,64,79,36,64,3★,3★,M,M,0,0
Juan Foyth,74,CB,Tottenham Hotspur,Premier League,ARG,70,45,66,72,74,70,3★,3★,M,H,0,0
Douglas Luiz,74,CM,Aston Villa,Premier League,BRA,67,67,72,74,69,70,2★,3★,M,M,0,0
Çağlar Söyüncü,74,CB,Leicester City,Premier League,TUR,63,45,52,59,74,74,4★,2★,M,M,0,0
Hamza Choudhury,74,CDM,Leicester City,Premier League,ENG,70,44,61,66,76,75,3★,2★,M,H,0,0
Kyle Walker-Peters,74,RB,Tottenham Hotspur,Premier League,ENG,76,37,66,72,72,66,4★,3★,H,M,0,0
Emiliano Buendía,74,RM,Norwich City,Premier League,ARG,73,66,74,77,61,62,3★,3★,H,H,0,0
Che Adams,74,ST,Southampton,Premier League,ENG,86,75,61,73,39,76,4★,3★,H,M,0,0
Adam Masina,74,LB,Watford,Premier League,ITA,68,42,67,68,73,73,3★,3★,M,H,0,0
Albian Ajeti,74,ST,West Ham United,Premier League,SUI,78,72,60,70,29,75,4★,3★,H,M,0,0
Patrick Roberts,74,RM,Norwich City,Premier League,ENG,77,66,69,82,27,41,3★,4★,M,M,0,0
Philip Billing,74,CM,Bournemouth,Premier League,DEN,58,70,72,71,74,73,3★,3★,M,M,0,0
Diego Rico,74,LB,Bournemouth,Premier League,ESP,72,58,69,67,73,73,2★,3★,M,M,0,0
Oliver McBurnie,74,ST,Sheffield United,Premier League,SCO,67,71,57,68,34,72,2★,3★,M,L,0,0
Anwar El Ghazi,74,LW,Aston Villa,Premier League,NED,76,75,68,75,32,69,4★,4★,M,L,0,0
Adama Traoré,74,RW,Wolverhampton Wanderers,Premier League,ESP,96,60,61,83,31,75,2★,4★,H,M,0,0
Tyrone Mings,74,CB,Aston Villa,Premier League,ENG,69,44,63,65,73,78,3★,3★,M,M,0,0
Jack O'Connell,74,CB,Sheffield United,Premier League,ENG,63,37,50,55,73,78,2★,2★,H,M,0,0
Manquillo,74,RWB,Newcastle United,Premier League,ESP,73,44,63,71,71,66,3★,3★,H,M,0,0
Emil Krafth,74,RB,Newcastle United,Premier League,SWE,73,52,66,70,74,71,3★,3★,H,M,0,0
Adam Webster,74,CB,Brighton & Hove Albion,Premier League,ENG,68,29,55,66,73,73,4★,2★,M,M,0,0
Christian Atsu,74,LM,Newcastle United,Premier League,GHA,86,67,68,77,34,45,3★,3★,M,L,0,0
Ryan Fredericks,74,RB,West Ham United,Premier League,ENG,92,51,66,72,69,69,3★,3★,H,M,0,0
John Egan,74,CB,Sheffield United,Premier League,IRL,65,49,50,59,73,76,3★,2★,M,M,0,0
Dimitri Foulquier,74,RM,Watford,Premier League,FRA,73,60,68,75,72,73,3★,3★,M,M,0,0
Jack Stephens,74,CB,Southampton,Premier League,ENG,61,42,58,67,74,71,3★,2★,M,M,0,0
Jeffrey Schlupp,74,LM,Crystal Palace,Premier League,GHA,86,67,66,73,69,75,2★,3★,H,M,0,0
Ben Gibson,74,CB,Burnley,Premier League,ENG,59,29,48,52,75,71,3★,2★,M,M,0,0
Timm Klose,74,CB,Norwich City,Premier League,SUI,37,38,54,39,75,75,3★,2★,M,M,0,0
Conor Hourihane,74,CM,Aston Villa,Premier League,IRL,65,69,75,69,65,74,4★,3★,H,M,0,0
Marvin Zeegelaar,74,LB,Watford,Premier League,NED,70,62,67,72,73,74,3★,3★,H,M,0,0
Enda Stevens,74,LWB,Sheffield United,Premier League,IRL,70,45,63,69,72,73,2★,3★,M,M,0,0
Leon Balogun,74,CB,Brighton & Hove Albion,Premier League,NIG,57,45,60,60,74,72,3★,2★,M,M,0,0
James Chester,74,CB,Aston Villa,Premier League,WAL,66,34,58,63,74,74,3★,2★,M,M,0,0
Henri Saivet,74,CAM,Newcastle United,Premier League,SEN,68,70,74,75,64,64,4★,3★,H,H,0,0
Gaëtan Bong,74,LB,Brighton & Hove Albion,Premier League,CAM,63,41,69,70,76,71,3★,3★,H,H,0,0
Shane Long,74,ST,Southampton,Premier League,IRL,80,72,61,71,36,69,2★,3★,H,H,0,0
Billy Sharp,74,ST,Sheffield United,Premier League,ENG,58,74,62,65,42,68,3★,2★,M,H,0,0
Aaron Lennon,74,RM,Burnley,Premier League,ENG,79,63,69,78,49,58,3★,3★,H,H,0,0
Axel Tuanzebe,73,CB,Manchester United,Premier League,ENG,78,35,61,70,71,74,3★,3★,M,M,0,0
Kelechi Iheanacho,73,ST,Leicester City,Premier League,NIG,78,71,64,74,28,67,3★,4★,M,M,0,0
Isaac Success,73,ST,Watford,Premier League,NIG,75,69,65,75,35,66,3★,3★,M,M,0,0
Daniel Amartey,73,RB,Leicester City,Premier League,GHA,67,55,65,69,75,76,3★,3★,M,H,0,0
Oumar Niasse,73,ST,Everton,Premier League,SEN,73,72,55,71,29,69,3★,3★,H,M,0,0
Callum Robinson,73,ST,Sheffield United,Premier League,IRL,85,72,65,74,34,60,3★,3★,H,M,0,0
Jordon Ibe,73,RM,Bournemouth,Premier League,ENG,78,66,68,78,41,61,4★,3★,M,M,0,0
Tom Trybull,73,CDM,Norwich City,Premier League,GER,61,48,66,67,73,74,3★,3★,M,H,0,0
Moritz Leitner,73,CM,Norwich City,Premier League,GER,69,65,74,74,59,58,4★,3★,M,M,0,0
Matěj Vydra,73,CAM,Burnley,Premier League,CZ,81,74,67,73,35,59,4★,3★,M,M,0,0
Kevin Long,73,CB,Burnley,Premier League,IRL,52,35,50,56,73,74,2★,2★,L,M,0,0
Ezequiel Schelotto,73,RB,Brighton & Hove Albion,Premier League,ITA,67,61,68,72,71,73,3★,3★,H,M,0,0
Marco Stiepermann,73,CAM,Norwich City,Premier League,GER,66,72,70,72,64,77,2★,3★,M,M,0,0
John Fleck,73,CM,Sheffield United,Premier League,SCO,72,64,73,75,66,74,2★,3★,M,M,0,0
Joel Ward,73,RB,Crystal Palace,Premier League,ENG,58,52,66,66,76,71,3★,3★,M,H,0,0
Ryan Bennett,73,CB,Wolverhampton Wanderers,Premier League,ENG,35,25,46,36,74,74,2★,2★,L,M,0,0
Erik Pieters,73,LB,Burnley,Premier League,NED,66,40,69,69,73,78,3★,3★,M,H,0,0
Mario Vrančić,73,CM,Norwich City,Premier League,BOS,55,70,73,73,59,70,3★,3★,M,M,0,0
Sebastian Prödl,73,CB,Watford,Premier League,AT,31,36,50,41,74,70,2★,2★,M,M,0,0
Charlie Daniels,73,LB,Bournemouth,Premier League,ENG,63,61,72,72,74,64,3★,3★,H,M,0,0
Luke Freeman,73,CAM,Sheffield United,Premier League,ENG,75,67,72,74,52,60,3★,3★,M,M,0,0
Christian Fuchs,73,LB,Leicester City,Premier League,AT,49,67,76,70,75,68,2★,3★,M,M,0,0
Reece James,73,RB,Chelsea,Premier League,ENG,79,57,69,71,70,75,3★,3★,M,M,0,0
Chris Mepham,73,CB,Bournemouth,Premier League,WAL,62,33,53,61,72,73,3★,2★,H,H,0,0
Timothy Fosu-Mensah,73,RB,Manchester United,Premier League,NED,83,60,64,66,71,76,4★,3★,M,M,0,0
Jota,73,RW,Aston Villa,Premier League,ESP,69,68,72,75,31,58,2★,3★,H,L,0,0
Onel Hernández,73,LM,Norwich City,Premier League,GER,85,70,63,76,33,71,3★,4★,H,M,0,0
Jonathan Kodjia,73,ST,Aston Villa,Premier League,IVC,77,70,57,73,27,73,3★,3★,H,M,0,0
Chris Basham,73,CB,Sheffield United,Premier League,ENG,66,43,57,59,72,79,2★,2★,H,M,0,0
Tudor Băluță,72,CDM,Brighton & Hove Albion,Premier League,ROM,62,50,58,52,69,75,2★,2★,M,H,0,0
Max Aarons,72,RB,Norwich City,Premier League,ENG,83,41,60,73,70,64,3★,3★,H,M,0,0
Fikayo Tomori,72,CB,Chelsea,Premier League,ENG,80,35,55,66,71,71,3★,2★,M,M,0,0
Daniel James,72,LM,Manchester United,Premier League,WAL,94,61,63,73,27,57,4★,3★,H,M,0,0
Reiss Nelson,72,RW,Arsenal,Premier League,ENG,88,65,60,78,34,47,4★,4★,H,M,0,0
Jaïro Riedewald,72,CB,Crystal Palace,Premier League,NED,64,51,68,68,72,66,3★,3★,M,M,0,0
Ben Osborn,72,LWB,Sheffield United,Premier League,ENG,76,64,70,72,64,60,3★,3★,H,M,0,0
Phil Bardsley,72,RB,Burnley,Premier League,SCO,51,58,66,68,75,72,3★,3★,M,M,0,0
Mix Diskerud,72,CM,Manchester City,Premier League,USA,69,69,72,70,57,71,4★,3★,H,M,0,0
Beram Kayal,72,CM,Brighton & Hove Albion,Premier League,ISR,64,61,70,72,69,70,3★,3★,H,H,0,0
Christoph Zimmermann,72,CB,Norwich City,Premier League,GER,53,33,43,46,72,78,3★,2★,M,H,0,0
Sean Longstaff,72,CM,Newcastle United,Premier League,ENG,63,65,68,67,60,60,4★,2★,H,M,0,0
Jamal Lewis,72,LB,Norwich City,Premier League,NIR,79,51,60,71,70,66,3★,3★,H,M,0,0
Matt Targett,72,LB,Aston Villa,Premier League,ENG,72,42,69,69,70,64,2★,3★,H,M,0,0
Sam Byram,72,RB,Norwich City,Premier League,ENG,71,60,66,72,70,68,3★,3★,H,M,0,0
Kenny McLean,72,CM,Norwich City,Premier League,SCO,74,69,68,73,60,70,3★,3★,H,H,0,0
Muhamed Bešić,72,CM,Sheffield United,Premier League,BOS,63,54,67,74,70,74,3★,3★,M,H,0,0
Michael Hector,72,CB,Chelsea,Premier League,JAM,64,47,51,59,71,76,3★,2★,M,M,0,0
David McGoldrick,72,ST,Sheffield United,Premier League,IRL,66,71,67,72,33,67,3★,3★,M,M,0,0
Dan Burn,71,CB,Brighton & Hove Albion,Premier League,ENG,44,33,53,48,70,77,3★,2★,L,M,0,0
Alexander Tettey,71,CDM,Norwich City,Premier League,NOR,64,64,64,63,71,76,2★,2★,M,H,0,0
Lewis Baker,71,CM,Chelsea,Premier League,ENG,68,67,72,71,63,66,5★,3★,M,L,0,0
Kevin Danso,71,CB,Southampton,Premier League,AT,61,32,42,53,70,74,3★,2★,M,M,0,0
Ben Godfrey,71,CB,Norwich City,Premier League,ENG,74,44,58,64,68,77,3★,2★,M,H,0,0
Lys Mousset,71,ST,Sheffield United,Premier League,FRA,77,70,53,71,25,61,3★,3★,M,M,0,0
Bartosz Kapustka,71,LM,Leicester City,Premier League,POL,76,62,68,72,37,53,3★,3★,M,M,0,0
Jack Colback,71,CDM,Newcastle United,Premier League,ENG,61,59,67,67,67,67,2★,3★,H,H,0,0
Rúben Vinagre,70,LWB,Wolverhampton Wanderers,Premier League,POR,88,54,65,78,60,59,2★,4★,H,M,0,0
Ezri Konsa,70,CB,Aston Villa,Premier League,ENG,76,38,58,69,68,70,3★,2★,M,H,0,0
Connor Wickham,70,ST,Crystal Palace,Premier League,ENG,49,72,61,65,30,71,3★,3★,H,M,0,0
Ahmed Elmohamady,70,RB,Aston Villa,Premier League,EGY,69,64,70,69,66,72,3★,3★,H,M,0,0
Jack Robinson,70,LB,Sheffield United,Premier League,ENG,72,40,60,63,71,66,3★,2★,H,H,0,0
Konstantinos Mavropanos,70,CB,Arsenal,Premier League,GRE,55,33,44,46,70,75,2★,2★,M,H,0,0
Morgan Gibbs-White,70,CM,Wolverhampton Wanderers,Premier League,ENG,72,61,69,72,56,64,2★,4★,M,M,0,0
Dominic Solanke,70,ST,Bournemouth,Premier League,ENG,66,69,60,70,27,69,3★,3★,H,M,0,0
Jack Stacey,70,RB,Bournemouth,Premier League,ENG,76,54,65,69,66,70,3★,2★,H,M,0,0
Philip Heise,70,LB,Norwich City,Premier League,GER,76,61,66,68,64,75,3★,3★,M,M,0,0
Cuco Martina,70,RB,Everton,Premier League,NEA,63,52,65,64,70,73,3★,2★,M,M,0,0
Grant Hanley,70,CB,Norwich City,Premier League,SCO,51,34,47,45,71,71,3★,2★,L,M,0,0
Henri Lansbury,70,CM,Aston Villa,Premier League,ENG,58,68,70,68,59,70,3★,3★,M,M,0,0
Neil Taylor,70,LB,Aston Villa,Premier League,WAL,68,39,65,69,69,66,3★,3★,M,H,0,0
Leon Clarke,70,ST,Sheffield United,Premier League,ENG,61,69,56,63,30,77,4★,2★,M,M,0,0
Cameron Carter-Vickers,69,CB,Tottenham Hotspur,Premier League,USA,63,23,51,51,68,69,3★,2★,M,M,0,0
Yan Valery,69,RWB,Southampton,Premier League,FRA,71,48,57,65,69,71,3★,3★,H,H,0,0
Domingos Quina,69,CAM,Watford,Premier League,POR,72,63,63,72,43,50,3★,3★,M,M,0,0
James Justin,69,RB,Leicester City,Premier League,ENG,76,47,66,68,66,66,4★,3★,H,M,0,0
George Baldock,69,RWB,Sheffield United,Premier League,ENG,78,43,59,67,64,74,2★,3★,M,M,0,0
Richard Stearman,69,CB,Sheffield United,Premier League,ENG,47,38,47,48,68,70,3★,2★,M,M,0,0
Eddie Nketiah,68,ST,Arsenal,Premier League,ENG,84,66,51,71,20,60,3★,3★,H,M,0,0
Gabriel Martinelli,68,LW,Arsenal,Premier League,BRA,85,62,59,71,25,55,2★,2★,M,M,0,0
Angel Gomes,68,CAM,Manchester United,Premier League,ENG,73,62,66,71,39,42,4★,4★,M,M,0,0
Lloyd Kelly,68,LB,Bournemouth,Premier League,ENG,77,35,58,67,65,71,3★,3★,M,M,0,0
Dennis Srbeny,68,ST,Norwich City,Premier League,GER,68,63,54,64,32,71,3★,3★,H,M,0,0
Todd Cantwell,68,LM,Norwich City,Premier League,ENG,70,61,65,71,36,46,2★,3★,H,M,0,0
Kortney Hause,68,CB,Aston Villa,Premier League,ENG,63,45,56,55,67,72,3★,2★,M,M,0,0
Kieron Freeman,68,RWB,Sheffield United,Premier League,WAL,69,56,61,65,65,67,3★,3★,M,M,0,0
Matty James,68,CM,Leicester City,Premier League,ENG,52,60,69,67,67,65,3★,3★,M,M,0,0
Mason Greenwood,67,CF,Manchester United,Premier League,ENG,76,66,61,68,36,59,5★,3★,M,M,0,0
Oliver Skipp,67,CDM,Tottenham Hotspur,Premier League,ENG,63,45,63,63,62,62,3★,2★,M,H,0,0
Jack Clarke,67,RM,Tottenham Hotspur,Premier League,ENG,78,60,61,71,25,55,4★,3★,M,M,0,0
Josh Sims,67,RM,Southampton,Premier League,ENG,80,60,61,72,31,47,4★,3★,H,M,0,0
Gonçalo Cardoso,67,CB,West Ham United,Premier League,POR,52,29,38,49,65,73,3★,2★,L,M,0,0
Beni Baningime,67,CDM,Everton,Premier League,DRC,55,46,64,65,65,61,3★,2★,M,M,0,0
Joseph Willock,67,CM,Arsenal,Premier League,ENG,73,53,64,67,54,66,3★,3★,H,M,0,0
Herbie Kane,67,CM,Liverpool,Premier League,ENG,71,59,63,65,55,60,3★,3★,M,M,0,0
Jack Simpson,67,CB,Bournemouth,Premier League,ENG,56,37,50,54,66,71,2★,2★,M,M,0,0
Xande Silva,67,RM,West Ham United,Premier League,POR,75,61,58,72,27,58,3★,3★,H,M,0,0
John Lundstram,67,CM,Sheffield United,Premier League,ENG,65,58,64,62,68,71,5★,2★,M,H,0,0
Ricky Holmes,67,LM,Sheffield United,Premier League,ENG,74,62,63,69,28,63,3★,3★,M,M,0,0
Bright Enobakhare,66,CAM,Wolverhampton Wanderers,Premier League,NIG,80,57,58,75,27,60,3★,4★,M,M,0,0
Eric García,66,CB,Manchester City,Premier League,ESP,58,34,53,59,65,64,3★,2★,L,H,0,0
Sepp van den Berg,66,CB,Liverpool,Premier League,NED,68,30,55,63,65,66,3★,2★,M,M,0,0
Jorge Segura,66,CB,Watford,Premier League,COL,46,29,38,38,67,72,3★,2★,M,M,0,0
Louis Thompson,66,CM,Norwich City,Premier League,WAL,64,50,63,65,65,70,3★,3★,H,H,0,0
Pedro Neto,66,RF,Wolverhampton Wanderers,Premier League,POR,78,62,53,72,22,41,3★,3★,H,M,0,0
Demetri Mitchell,66,LB,Manchester United,Premier League,ENG,82,61,66,69,59,60,2★,3★,H,H,0,0
Pedro Chirivella,66,CM,Liverpool,Premier League,ESP,65,46,64,67,57,69,3★,3★,M,M,0,0
Sam McQueen,66,LB,Southampton,Premier League,ENG,68,48,62,69,64,65,3★,3★,M,M,0,0
Martin Samuelsen,65,ST,West Ham United,Premier League,NOR,75,54,58,72,29,51,4★,4★,M,M,0,0
Bukayo Saka,65,LM,Arsenal,Premier League,ENG,83,60,58,67,37,59,4★,3★,H,H,0,0
Emile Smith Rowe,65,LW,Arsenal,Premier League,ENG,79,63,59,68,32,47,3★,4★,H,M,0,0
Tahith Chong,65,RW,Manchester United,Premier League,NED,78,62,63,63,44,62,3★,4★,H,H,0,0
Sam Surridge,65,ST,Bournemouth,Premier League,ENG,63,64,43,62,27,71,3★,2★,H,M,0,0
Brad Smith,65,LB,Bournemouth,Premier League,AUS,78,43,58,64,62,64,3★,2★,H,M,0,0
Japhet Tanganga,65,CB,Tottenham Hotspur,Premier League,ENG,63,22,43,51,64,66,3★,2★,M,M,0,0
Keinan Davis,65,ST,Aston Villa,Premier League,ENG,69,59,51,67,41,73,2★,3★,M,M,0,0
George Thomas,65,CAM,Leicester City,Premier League,WAL,77,61,61,66,36,64,3★,3★,H,M,0,0
Phil Ofosu-Ayeh,65,RB,Wolverhampton Wanderers,Premier League,GHA,81,47,56,66,62,71,3★,3★,M,M,0,0
Jordan Graham,65,LM,Wolverhampton Wanderers,Premier League,ENG,77,58,61,69,27,47,5★,4★,M,L,0,0
Ellis Simms,64,ST,Everton,Premier League,ENG,77,64,50,59,25,58,4★,3★,H,M,0,0
Troy Parrott,64,ST,Tottenham Hotspur,Premier League,IRL,76,64,53,62,26,58,4★,3★,H,M,0,0
Rhian Brewster,64,ST,Liverpool,Premier League,ENG,77,63,53,64,19,55,4★,3★,H,M,0,0
Aaron Connolly,64,ST,Brighton & Hove Albion,Premier League,IRL,70,64,40,60,20,57,3★,2★,M,L,0,0
Morgan Feeney,64,CB,Everton,Premier League,ENG,47,32,33,39,64,67,2★,2★,L,H,0,0
Kean Bryan,64,CB,Sheffield United,Premier League,ENG,62,51,58,61,61,71,2★,2★,M,M,0,0
Renat Dadashov,64,ST,Wolverhampton Wanderers,Premier League,AZE,64,64,48,58,24,61,3★,3★,M,M,0,0
Kazaiah Sterling,63,ST,Tottenham Hotspur,Premier League,ENG,76,65,41,62,23,49,2★,3★,M,M,0,0
Michael Obafemi,63,ST,Southampton,Premier League,IRL,79,61,49,62,23,50,3★,2★,H,L,0,0
Zech Medley,63,CB,Arsenal,Premier League,ENG,62,30,38,47,64,64,3★,2★,M,H,0,0
Víctor Fernández,63,LM,Newcastle United,Premier League,ESP,71,60,56,68,29,46,3★,3★,H,M,0,0
Manasse Mampala,63,ST,Everton,Premier League,ENG,76,59,52,62,33,61,3★,3★,M,M,0,0
Adam Idah,63,ST,Norwich City,Premier League,IRL,75,64,38,58,21,62,3★,2★,H,M,0,0
James Garner,63,CDM,Manchester United,Premier League,ENG,63,54,61,59,61,60,3★,2★,M,H,0,0
Meritan Shabani,63,CAM,Wolverhampton Wanderers,Premier League,GER,65,52,63,65,34,54,3★,3★,M,M,0,0
Aidan Barlow,62,LM,Manchester United,Premier League,ENG,70,60,63,63,41,56,3★,3★,M,M,0,0
Felix Nmecha,62,CAM,Manchester City,Premier League,ENG,75,54,61,62,45,55,3★,4★,H,M,0,0
Ki-Jana Hoever,62,RB,Liverpool,Premier League,NED,72,36,57,64,61,62,3★,2★,M,M,0,0
Billy Gilmour,62,CM,Chelsea,Premier League,SCO,59,50,65,65,45,42,3★,3★,M,M,0,0
Liam Millar,62,LW,Liverpool,Premier League,CAN,75,59,51,65,22,54,3★,3★,H,M,0,0
Josh Benson,62,CM,Burnley,Premier League,ENG,68,54,61,62,54,64,3★,2★,M,M,0,0
Matthew Longstaff,62,CM,Newcastle United,Premier League,ENG,66,50,64,62,49,53,3★,2★,H,M,0,0
Alex Dobre,62,LM,Bournemouth,Premier League,ROM,75,51,53,66,37,61,3★,3★,H,M,0,0
Callum Slattery,62,CAM,Southampton,Premier League,ENG,60,58,57,61,43,64,3★,2★,M,M,0,0
Benny Ashley-Seal,62,ST,Wolverhampton Wanderers,Premier League,ENG,76,58,43,58,24,60,3★,3★,H,M,0,0
Adam Phillips,62,CM,Burnley,Premier League,ENG,64,55,61,65,42,55,3★,3★,M,M,0,0
Layton Ndukwu,61,RM,Leicester City,Premier League,ENG,73,57,54,64,28,54,5★,3★,M,M,0,0
Kyle Taylor,61,CM,Bournemouth,Premier League,ENG,68,54,59,63,41,50,3★,3★,M,M,0,0
Nathaniel Phillips,61,CB,Liverpool,Premier League,ENG,51,29,43,39,60,63,3★,2★,L,H,0,0
Jacob Maddox,61,CAM,Chelsea,Premier League,ENG,70,56,57,63,34,53,3★,3★,H,M,0,0
Aidan Fitzpatrick,61,RM,Norwich City,Premier League,SCO,77,56,56,64,32,48,4★,2★,H,M,0,0
Kayne Ramsay,61,RB,Southampton,Premier League,ENG,70,33,44,59,58,63,2★,2★,M,M,0,0
Curtis Jones,61,CM,Liverpool,Premier League,ENG,61,56,60,65,48,53,3★,3★,H,M,0,0
